Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/projekt_ib_eyetracker/filip kalib 3.jazz
Data tworzenia: 30/04/2019
Czas tworzenia: 08:42:28.117
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
1	1721	1924
2	1722	1924
3	1721	1924
4	1721	1924
5	1722	1924
6	1722	1925
7	1722	1926
8	1722	1925
9	1722	1925
10	1722	1924
11	1722	1924
12	1722	1925
13	1722	1924
14	1722	1924
15	1721	1923
16	1722	1923
17	1721	1923
18	1721	1924
19	1721	1923
20	1721	1923
21	1720	1923
22	1720	1923
23	1720	1924
24	1720	1924
25	1721	1923
26	1721	1923
27	1720	1923
28	1720	1923
29	1720	1924
30	1720	1924
31	1720	1925
32	1720	1924
33	1719	1924
34	1719	1924
35	1720	1924
36	1720	1923
37	1720	1923
38	1720	1923
39	1720	1923
40	1719	1924
41	1720	1924
42	1719	1924
43	1720	1924
44	1719	1924
45	1719	1923
46	1720	1924
47	1720	1925
48	1720	1925
49	1719	1926
50	1720	1926
51	1720	1926
52	1720	1926
53	1720	1926
54	1720	1925
55	1720	1925
56	1720	1924
57	1721	1924
58	1721	1924
59	1721	1925
60	1721	1925
61	1721	1925
62	1721	1925
63	1721	1925
64	1721	1925
65	1721	1925
66	1721	1925
67	1721	1925
68	1722	1925
69	1722	1924
70	1722	1925
71	1722	1925
72	1722	1925
73	1722	1924
74	1722	1925
75	1721	1926
76	1721	1925
77	1722	1927
78	1721	1926
79	1722	1926
80	1722	1926
81	1722	1927
82	1722	1926
83	1723	1925
84	1722	1926
85	1722	1925
86	1722	1925
87	1721	1925
88	1722	1926
89	1721	1925
90	1722	1925
91	1722	1925
92	1722	1924
93	1722	1924
94	1721	1924
95	1722	1924
96	1721	1924
97	1722	1924
98	1722	1924
99	1722	1924
100	1722	1924
101	1722	1924
102	1723	1925
103	1722	1926
104	1722	1925
105	1721	1925
106	1720	1925
107	1720	1925
108	1720	1925
109	1720	1925
110	1719	1924
111	1719	1924
112	1720	1924
113	1719	1924
114	1720	1924
115	1719	1925
116	1720	1925
117	1719	1925
118	1719	1924
119	1720	1923
120	1720	1923
121	1720	1922
122	1720	1922
123	1720	1921
124	1720	1921
125	1720	1921
126	1721	1922
127	1721	1922
128	1721	1921
129	1720	1921
130	1720	1921
131	1719	1921
132	1720	1921
133	1721	1921
134	1720	1920
135	1720	1920
136	1719	1920
137	1720	1921
138	1720	1921
139	1719	1921
140	1719	1922
141	1718	1922
142	1718	1922
143	1718	1922
144	1718	1923
145	1718	1923
146	1718	1923
147	1718	1922
148	1719	1922
149	1719	1922
150	1718	1922
151	1718	1922
152	1718	1922
153	1718	1921
154	1718	1921
155	1718	1922
156	1717	1922
157	1717	1921
158	1718	1921
159	1718	1921
160	1719	1920
161	1719	1920
162	1719	1920
163	1719	1920
164	1719	1920
165	1719	1920
166	1719	1919
167	1719	1920
168	1719	1920
169	1719	1919
170	1718	1920
171	1718	1919
172	1718	1919
173	1718	1919
174	1718	1920
175	1718	1920
176	1718	1920
177	1717	1920
178	1718	1920
179	1718	1920
180	1718	1920
181	1719	1920
182	1719	1919
183	1719	1919
184	1719	1919
185	1719	1920
186	1719	1920
187	1720	1920
188	1720	1920
189	1720	1920
190	1719	1921
191	1719	1921
192	1718	1921
193	1718	1921
194	1717	1921
195	1717	1921
196	1717	1921
197	1716	1921
198	1717	1920
199	1717	1920
200	1718	1920
201	1718	1920
202	1718	1920
203	1718	1920
204	1718	1919
205	1718	1919
206	1718	1919
207	1718	1919
208	1718	1918
209	1717	1918
210	1717	1918
211	1717	1918
212	1717	1919
213	1718	1919
214	1717	1918
215	1718	1918
216	1718	1918
217	1719	1919
218	1719	1918
219	1718	1919
220	1718	1918
221	1717	1919
222	1718	1918
223	1718	1919
224	1718	1919
225	1717	1918
226	1717	1918
227	1717	1917
228	1717	1919
229	1717	1918
230	1717	1919
231	1717	1918
232	1718	1918
233	1718	1918
234	1718	1918
235	1718	1918
236	1718	1917
237	1718	1917
238	1718	1917
239	1717	1917
240	1717	1917
241	1716	1916
242	1716	1915
243	1716	1914
244	1716	1915
245	1716	1915
246	1716	1915
247	1717	1915
248	1717	1915
249	1719	1916
250	1719	1918
251	1718	1918
252	1718	1918
253	1718	1918
254	1718	1918
255	1717	1917
256	1717	1917
257	1716	1917
258	1716	1916
259	1717	1916
260	1718	1916
261	1718	1916
262	1718	1915
263	1718	1915
264	1718	1915
265	1718	1915
266	1718	1915
267	1718	1915
268	1717	1915
269	1717	1915
270	1717	1914
271	1717	1914
272	1717	1914
273	1718	1915
274	1717	1914
275	1717	1914
276	1717	1914
277	1717	1914
278	1716	1915
279	1716	1915
280	1716	1915
281	1715	1914
282	1715	1914
283	1714	1914
284	1715	1913
285	1715	1913
286	1715	1912
287	1715	1912
288	1715	1912
289	1715	1912
290	1715	1913
291	1716	1913
292	1716	1913
293	1716	1913
294	1716	1914
295	1717	1913
296	1717	1913
297	1716	1913
298	1716	1913
299	1716	1913
300	1716	1912
301	1715	1912
302	1715	1912
303	1713	1911
304	1713	1911
305	1713	1911
306	1714	1911
307	1713	1911
308	1712	1911
309	1713	1911
310	1713	1912
311	1713	1913
312	1714	1913
313	1715	1913
314	1715	1913
315	1715	1913
316	1715	1913
317	1715	1912
318	1715	1912
319	1716	1912
320	1715	1912
321	1715	1912
322	1714	1912
323	1715	1912
324	1714	1912
325	1713	1912
326	1713	1912
327	1712	1912
328	1711	1912
329	1711	1911
330	1711	1911
331	1711	1911
332	1712	1912
333	1713	1913
334	1713	1913
335	1714	1914
336	1715	1914
337	1715	1914
338	1716	1913
339	1715	1914
340	1715	1914
341	1716	1913
342	1715	1913
343	1715	1913
344	1714	1913
345	1713	1913
346	1713	1914
347	1715	1913
348	1714	1913
349	1713	1913
350	1713	1912
351	1713	1912
352	1713	1912
353	1714	1912
354	1714	1912
355	1713	1912
356	1713	1912
357	1714	1912
358	1714	1912
359	1714	1912
360	1714	1912
361	1715	1912
362	1715	1913
363	1715	1913
364	1715	1912
365	1714	1913
366	1714	1914
367	1714	1913
368	1714	1912
369	1714	1913
370	1715	1912
371	1714	1912
372	1714	1912
373	1714	1911
