Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/projekt_ib_eyetracker/filip kalib po slaby.jazz
Data tworzenia: 30/04/2019
Czas tworzenia: 08:50:03.820
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
1	1826	3269
2	1825	3268
3	1825	3268
4	1826	3268
5	1825	3268
6	1826	3267
7	1826	3267
8	1826	3267
9	1827	3267
10	1827	3267
11	1827	3267
12	1827	3267
13	1827	3268
14	1827	3269
15	1827	3268
16	1828	3268
17	1827	3268
18	1827	3268
19	1826	3269
20	1827	3268
21	1827	3268
22	1828	3269
23	1828	3269
24	1828	3269
25	1828	3270
26	1829	3270
27	1830	3270
28	1830	3270
29	1830	3270
30	1829	3270
31	1829	3270
32	1829	3269
33	1829	3269
34	1829	3268
35	1828	3268
36	1828	3268
37	1828	3268
38	1828	3267
39	1829	3267
40	1828	3266
41	1828	3266
42	1828	3266
43	1827	3266
44	1828	3266
45	1828	3266
46	1828	3266
47	1828	3266
48	1829	3266
49	1829	3266
50	1829	3267
51	1830	3267
52	1831	3267
53	1831	3267
54	1831	3266
55	1831	3266
56	1831	3267
57	1832	3267
58	1832	3267
59	1831	3267
60	1831	3268
61	1830	3269
62	1831	3269
63	1830	3269
64	1831	3269
65	1831	3269
66	1831	3269
67	1831	3269
68	1832	3269
69	1831	3269
70	1831	3268
71	1831	3269
72	1831	3269
73	1831	3269
74	1831	3268
75	1831	3268
76	1830	3268
77	1831	3268
78	1831	3269
79	1831	3268
80	1832	3269
81	1832	3269
82	1832	3269
83	1832	3269
84	1833	3269
85	1833	3269
86	1832	3269
87	1832	3269
88	1831	3270
89	1830	3269
90	1830	3269
91	1831	3268
92	1831	3267
93	1831	3267
94	1831	3266
95	1831	3266
96	1832	3266
97	1832	3266
98	1832	3266
99	1832	3267
100	1833	3267
101	1833	3267
102	1833	3267
103	1834	3267
104	1833	3267
105	1834	3267
106	1834	3266
107	1834	3265
108	1834	3265
109	1834	3266
110	1833	3266
111	1833	3265
112	1833	3265
113	1833	3265
114	1833	3267
115	1833	3267
116	1833	3267
117	1833	3268
118	1832	3267
119	1833	3268
120	1832	3269
121	1832	3268
122	1833	3268
123	1834	3268
124	1833	3267
125	1833	3268
126	1833	3267
127	1833	3267
128	1833	3266
129	1833	3267
130	1833	3266
131	1833	3266
132	1834	3265
133	1833	3265
134	1834	3265
135	1834	3265
136	1835	3266
137	1834	3266
138	1834	3267
139	1834	3266
140	1835	3267
141	1835	3267
142	1835	3268
143	1835	3267
144	1835	3267
145	1835	3267
146	1835	3267
147	1835	3267
148	1834	3268
149	1834	3268
150	1834	3267
151	1834	3267
152	1834	3267
153	1835	3267
154	1834	3266
155	1834	3267
156	1834	3265
157	1835	3265
158	1835	3266
159	1835	3266
160	1835	3266
161	1834	3266
162	1834	3267
163	1835	3267
164	1834	3268
165	1835	3269
166	1835	3268
167	1835	3268
168	1836	3268
169	1836	3269
170	1837	3269
171	1837	3269
172	1837	3268
173	1836	3267
174	1836	3267
175	1836	3267
176	1836	3267
177	1835	3268
178	1836	3266
179	1836	3265
180	1836	3266
181	1836	3267
182	1836	3267
183	1836	3268
184	1836	3268
