Liczba sygnalów: 3
Program tworzacy: JazzRecorder 2.5
Plik zródlowy: C:/Documents and Settings/admin/Desktop/kalib2_wojtek.jazz
Data tworzenia: 9/04/2019
Czas tworzenia: 09:16:29.817
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
Numer sygnalu 3	microphone	1000	8000	unsigned int	16	NoCalib
no	Eye_X	Eye_Y	Mic
1	997	2299	1519
2	997	2299	2799
3	998	2299	676
4	998	2299	3240
5	997	2300	1838
6	996	2300	1489
7	997	2298	2177
8	997	2298	2090
9	996	2297	2846
10	995	2297	1033
11	995	2297	2535
12	994	2297	722
13	994	2297	2604
14	994	2297	2254
15	994	2297	1945
16	993	2297	2382
17	993	2298	1542
18	993	2298	2170
19	993	2298	2925
20	993	2297	1577
21	993	2297	2581
22	993	2297	1049
23	993	2297	1504
24	993	2297	2949
25	993	2297	1302
26	992	2296	3351
27	992	2297	1165
28	992	2296	2631
29	991	2297	1594
30	992	2297	2930
31	992	2296	2577
32	992	2296	1898
33	992	2297	1865
34	992	2297	1362
35	993	2296	2750
36	993	2297	1627
37	993	2297	2498
38	992	2296	1937
39	992	2296	2178
40	992	2296	1843
41	992	2296	1995
42	991	2296	2354
43	991	2297	1564
44	991	2298	2748
45	991	2298	1571
46	992	2298	2117
47	991	2299	1546
48	991	2299	2418
49	992	2299	2182
50	993	2299	1861
51	994	2299	1926
52	995	2299	1937
53	995	2299	2422
54	995	2299	1839
55	995	2299	1997
56	995	2299	2067
57	995	2300	1804
58	994	2300	1975
59	994	2300	2414
60	994	2300	1635
61	994	2299	1886
62	994	2299	2015
63	995	2299	2484
64	995	2298	1925
65	996	2299	2222
66	996	2299	1997
67	996	2298	2207
68	996	2298	2091
69	996	2298	1957
70	997	2298	2440
71	997	2299	1670
72	997	2298	2273
73	996	2298	1492
74	997	2298	2449
75	997	2299	1791
76	996	2299	2085
77	997	2300	1895
78	997	2300	2378
79	998	2300	1855
80	998	2300	2331
81	998	2301	1685
82	998	2301	2440
83	999	2301	1406
84	1000	2300	2094
85	1000	2300	2030
86	1000	2300	2225
87	1000	2300	1755
88	1000	2300	2123
89	1000	2301	1956
90	999	2302	1839
91	999	2301	2275
92	998	2302	1956
93	998	2303	1860
94	997	2303	1773
95	997	2303	1985
96	997	2303	2412
97	998	2303	2090
98	999	2303	1683
99	999	2303	2133
100	1000	2303	2252
101	1000	2303	1851
102	1000	2303	2027
103	1000	2303	2043
104	1000	2303	1530
105	1000	2303	2267
106	999	2303	1980
107	1000	2303	2581
108	1000	2303	1637
109	1000	2303	2227
110	1000	2303	1875
111	1000	2303	1941
112	1000	2303	2140
113	999	2303	2010
114	999	2302	2037
115	999	2302	1574
116	999	2302	2599
117	999	2301	1923
118	998	2301	1883
119	997	2301	1841
120	997	2300	2415
121	996	2300	1682
122	996	2299	2202
123	996	2299	1988
124	996	2298	1987
125	996	2299	1750
126	996	2299	2108
127	996	2299	2402
128	995	2299	1752
129	995	2299	2178
130	994	2299	1876
131	995	2299	1973
132	995	2300	1916
133	995	2300	2074
134	996	2300	1776
135	996	2300	2163
136	997	2299	2298
137	997	2299	1880
138	997	2300	1968
139	997	2299	1890
140	997	2300	2191
