no	Eye_X	Eye_Y	Mic
1	1080	2313	2217
2	1079	2312	2144
3	1079	2313	1826
4	1080	2313	2111
5	1080	2313	1866
6	1080	2313	2525
7	1080	2313	1474
8	1080	2314	2256
9	1081	2314	1700
10	1081	2315	1927
11	1082	2314	1994
12	1081	2314	2352
13	1081	2314	1831
14	1081	2314	2339
15	1081	2313	1470
16	1082	2313	2757
17	1081	2313	1271
18	1082	2314	2493
19	1082	2313	1646
20	1082	2314	2174
21	1082	2313	2051
22	1083	2313	1986
23	1083	2312	1849
24	1083	2312	2128
25	1083	2312	1980
26	1082	2311	2256
27	1082	2311	1938
28	1082	2311	1763
29	1081	2311	2299
30	1081	2311	1798
31	1082	2311	2245
32	1082	2312	2078
33	1081	2312	2133
34	1081	2312	1929
35	1081	2312	2249
36	1080	2313	1789
37	1081	2313	2288
38	1080	2313	1742
39	1080	2313	1965
40	1080	2313	2332
41	1081	2313	1774
42	1081	2313	1980
43	1082	2313	2118
44	1083	2312	1952
45	1083	2312	2185
46	1084	2312	1768
47	1084	2312	2176
48	1084	2312	2108
49	1084	2312	1859
50	1085	2313	2090
51	1085	2313	2116
52	1084	2314	1953
53	1085	2313	2034
54	1085	2313	2051
55	1085	2314	2407
56	1085	2314	1670
57	1085	2314	1992
58	1084	2313	2184
59	1084	2313	1683
60	1085	2313	2339
61	1085	2313	1908
62	1085	2313	2237
63	1085	2313	1903
64	1084	2314	2120
65	1085	2314	1791
66	1085	2315	2159
67	1085	2316	2245
68	1084	2316	1744
69	1083	2315	2234
70	1084	2316	2221
71	1084	2315	1980
72	1085	2314	1936
73	1085	2315	1954
74	1084	2314	2307
75	1085	2315	1560
76	1085	2315	2403
77	1086	2316	1847
78	1086	2316	2039
79	1086	2316	2247
80	1087	2316	1648
81	1087	2316	2073
82	1089	2316	1961
83	1088	2315	1930
84	1087	2315	2030
85	1087	2315	2071
86	1086	2316	1972
87	1086	2317	2149
88	1086	2316	1709
89	1085	2317	2088
90	1085	2316	1936
91	1086	2316	2072
92	1086	2315	2040
93	1086	2316	2256
94	1086	2315	2020
95	1086	2315	1813
96	1085	2315	1991
97	1086	2314	1916
98	1086	2315	2201
99	1086	2316	1924
100	1086	2316	2132
101	1086	2315	1947
102	1086	2315	2070
103	1086	2315	2394
104	1086	2315	1761
105	1085	2315	2226
106	1084	2315	1864
107	1085	2315	1942
108	1085	2314	2056
109	1085	2315	2142
110	1085	2315	1852
111	1084	2316	2182
112	1085	2315	1819
113	1085	2316	2162
114	1085	2315	2025
115	1085	2315	2016
116	1085	2315	2008
117	1085	2315	1949
118	1085	2315	2095
119	1086	2314	1996
120	1085	2314	2225
121	1085	2315	1899
122	1085	2315	2276
123	1084	2315	2099
124	1084	2314	1918
125	1084	2314	2262
126	1084	2314	1700
127	1084	2315	2360
128	1084	2314	1893
129	1084	2314	1934
130	1083	2314	2074
131	1084	2314	1716
132	1084	2316	2308
133	1084	2317	1821
134	1084	2318	2153
135	1084	2318	1848
136	1084	2320	2166
137	1084	2320	2087
138	1084	2320	1957
139	1084	2320	2098
140	1084	2319	1917
141	1084	2318	2296
142	1085	2317	2086
143	1084	2318	2039
144	1084	2317	2194
145	1084	2317	1870
146	1084	2318	2143
147	1084	2318	2069
148	1083	2318	2010
149	1083	2319	2129
150	1083	2319	1849
151	1084	2319	2127
152	1085	2319	1895
153	1085	2319	1834
