Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/projekt_ib_eyetracker/wojtek_30_04_kalib.jazz
Data tworzenia: 30/04/2019
Czas tworzenia: 08:56:10.945
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
1	2333	1990
2	2333	1990
3	2334	1991
4	2333	1990
5	2333	1989
6	2332	1988
7	2332	1988
8	2332	1989
9	2331	1990
10	2331	1990
11	2330	1989
12	2330	1990
13	2329	1991
14	2330	1991
15	2329	1992
16	2329	1991
17	2329	1991
18	2328	1991
19	2328	1991
20	2328	1990
21	2328	1989
22	2328	1989
23	2327	1989
24	2327	1988
25	2327	1988
26	2328	1988
27	2327	1987
28	2326	1988
29	2325	1988
30	2325	1988
31	2326	1987
32	2326	1988
33	2326	1988
34	2325	1987
35	2324	1987
36	2325	1988
37	2325	1987
38	2324	1987
39	2323	1988
40	2322	1987
41	2321	1988
42	2321	1989
43	2321	1990
44	2321	1989
45	2321	1990
46	2321	1990
47	2322	1990
48	2322	1990
49	2323	1989
50	2324	1988
51	2323	1988
52	2323	1988
53	2323	1987
54	2324	1987
55	2324	1987
56	2324	1988
57	2324	1988
58	2324	1988
59	2323	1988
60	2323	1988
61	2324	1988
62	2324	1988
63	2325	1988
64	2325	1987
65	2325	1986
66	2325	1985
67	2326	1984
68	2326	1984
69	2327	1984
70	2328	1984
71	2327	1985
72	2328	1985
73	2328	1985
74	2327	1984
75	2328	1984
76	2328	1984
77	2328	1983
78	2328	1984
79	2329	1982
80	2329	1982
81	2329	1982
82	2330	1982
83	2330	1983
84	2330	1981
85	2330	1982
86	2329	1980
87	2329	1980
88	2329	1980
89	2330	1979
90	2329	1979
91	2330	1979
92	2331	1979
93	2331	1979
94	2332	1979
95	2332	1979
96	2331	1979
97	2331	1980
98	2331	1979
99	2331	1978
100	2331	1978
101	2331	1979
102	2331	1979
103	2332	1979
104	2333	1979
