Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/projekt_ib_eyetracker/wojtek_30_04_kalib_2.jazz
Data tworzenia: 30/04/2019
Czas tworzenia: 09:02:50.430
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
1	2087	2495
2	2087	2493
3	2088	2493
4	2088	2493
5	2088	2492
6	2088	2491
7	2089	2491
8	2089	2490
9	2089	2490
10	2089	2490
11	2089	2490
12	2089	2490
13	2090	2491
14	2089	2491
15	2089	2492
16	2088	2493
17	2089	2493
18	2089	2494
19	2089	2494
20	2088	2493
21	2088	2494
22	2088	2494
23	2088	2494
24	2089	2494
25	2089	2494
26	2088	2493
27	2088	2494
28	2089	2494
29	2089	2494
30	2089	2495
31	2089	2495
32	2089	2496
33	2087	2496
34	2087	2497
35	2087	2496
36	2086	2497
37	2086	2497
38	2086	2497
39	2086	2496
40	2086	2496
41	2087	2496
42	2088	2496
43	2089	2496
44	2089	2495
45	2090	2495
46	2090	2494
47	2091	2494
48	2091	2494
49	2091	2494
50	2091	2493
51	2091	2492
52	2091	2493
53	2092	2494
54	2093	2494
55	2093	2494
56	2094	2494
57	2094	2496
58	2094	2496
59	2094	2497
60	2094	2497
61	2093	2497
62	2093	2497
63	2093	2497
64	2093	2497
65	2093	2497
66	2093	2497
67	2092	2497
68	2092	2496
69	2092	2496
70	2091	2497
71	2091	2496
72	2091	2497
73	2091	2496
74	2091	2496
75	2091	2497
76	2092	2497
77	2092	2497
78	2093	2497
79	2093	2498
80	2092	2498
81	2093	2499
82	2093	2500
83	2093	2500
84	2094	2500
85	2094	2501
86	2093	2500
87	2094	2499
88	2095	2499
89	2094	2498
90	2094	2497
91	2094	2497
92	2094	2497
93	2095	2496
94	2094	2497
95	2094	2498
96	2094	2498
97	2094	2498
98	2094	2498
99	2094	2498
100	2093	2499
101	2093	2499
102	2094	2498
103	2094	2498
104	2094	2497
105	2094	2498
106	2094	2499
107	2094	2498
108	2094	2499
109	2094	2500
110	2094	2501
111	2094	2502
112	2093	2504
113	2095	2503
114	2094	2503
115	2094	2504
116	2094	2503
117	2095	2504
118	2094	2503
119	2094	2502
120	2094	2502
121	2093	2503
122	2093	2502
123	2093	2502
124	2093	2503
125	2093	2503
126	2092	2503
127	2091	2504
128	2091	2504
129	2092	2504
130	2093	2504
131	2093	2504
132	2093	2504
133	2093	2505
134	2093	2505
135	2094	2505
136	2094	2505
137	2093	2505
138	2092	2504
139	2092	2504
140	2092	2503
141	2092	2503
142	2093	2502
143	2093	2502
144	2093	2503
145	2093	2503
146	2093	2504
147	2093	2505
148	2093	2506
149	2093	2506
150	2094	2506
151	2094	2507
152	2095	2507
153	2095	2507
154	2095	2507
155	2094	2506
156	2094	2505
157	2094	2505
158	2094	2505
159	2094	2505
160	2093	2505
161	2094	2505
162	2094	2505
163	2094	2505
164	2094	2506
165	2094	2506
166	2093	2507
167	2092	2507
168	2093	2507
169	2093	2506
170	2093	2506
171	2093	2507
172	2093	2506
173	2093	2506
174	2093	2506
175	2094	2506
176	2094	2506
177	2094	2508
178	2094	2507
179	2094	2507
180	2094	2506
181	2094	2507
182	2095	2506
183	2094	2505
184	2094	2505
185	2094	2505
186	2093	2505
187	2093	2506
188	2093	2507
189	2093	2507
190	2092	2508
191	2092	2508
192	2092	2509
193	2092	2509
194	2092	2509
195	2092	2509
196	2092	2508
197	2093	2508
198	2093	2508
199	2093	2509
200	2093	2508
201	2093	2509
202	2093	2510
203	2093	2510
204	2093	2510
205	2093	2510
206	2093	2510
207	2094	2509
208	2094	2510
209	2094	2510
210	2093	2509
