Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/fm/zofia_hitler_kalib 1.jazz
Data tworzenia: 14/05/2019
Czas tworzenia: 08:46:59.195
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
1	1811	1487
2	1812	1486
3	1812	1485
4	1813	1485
5	1813	1485
6	1813	1484
7	1814	1483
8	1814	1483
9	1814	1483
10	1814	1483
11	1815	1484
12	1815	1484
13	1815	1483
14	1815	1484
15	1815	1484
16	1815	1483
17	1815	1483
18	1814	1483
19	1814	1482
20	1814	1483
21	1813	1482
22	1813	1481
23	1813	1482
24	1812	1482
25	1811	1481
26	1811	1480
27	1811	1480
28	1811	1480
29	1810	1480
30	1809	1481
31	1808	1480
32	1807	1480
33	1807	1480
34	1806	1481
35	1805	1480
36	1806	1481
37	1806	1481
38	1806	1481
39	1806	1481
40	1806	1481
41	1805	1482
42	1805	1482
43	1805	1482
44	1804	1482
45	1803	1481
46	1802	1481
47	1802	1482
48	1801	1481
49	1800	1481
50	1800	1482
51	1799	1482
52	1798	1482
53	1798	1483
54	1797	1483
55	1796	1483
56	1796	1483
57	1796	1484
58	1795	1483
59	1794	1485
60	1793	1486
61	1793	1485
62	1793	1486
63	1794	1487
64	1793	1487
65	1792	1488
66	1792	1487
67	1792	1487
68	1792	1486
69	1792	1486
70	1791	1486
71	1790	1484
72	1791	1484
73	1792	1484
74	1792	1484
75	1793	1483
76	1794	1483
77	1794	1483
78	1795	1483
79	1795	1483
80	1795	1483
81	1795	1483
82	1795	1483
83	1795	1483
84	1796	1483
85	1796	1482
86	1797	1482
87	1799	1481
88	1799	1481
89	1801	1480
90	1801	1479
91	1802	1479
92	1802	1479
93	1802	1478
94	1802	1478
95	1802	1478
96	1802	1478
97	1802	1479
98	1802	1479
99	1802	1479
100	1803	1479
101	1803	1478
102	1804	1477
103	1804	1477
104	1805	1476
105	1806	1476
106	1807	1475
107	1807	1474
108	1808	1473
109	1808	1474
110	1809	1475
111	1809	1475
112	1810	1475
113	1810	1475
114	1810	1476
115	1810	1476
116	1811	1477
117	1812	1476
118	1811	1477
119	1812	1477
120	1812	1476
121	1812	1476
122	1812	1475
123	1812	1475
124	1811	1475
125	1810	1475
126	1810	1474
127	1810	1473
128	1810	1472
129	1810	1472
130	1811	1473
131	1812	1473
132	1813	1473
133	1813	1473
134	1812	1473
135	1812	1474
136	1811	1474
137	1811	1474
138	1811	1474
139	1810	1474
140	1810	1475
141	1810	1475
142	1810	1474
143	1809	1474
144	1809	1474
145	1808	1474
146	1808	1475
147	1808	1475
148	1806	1474
149	1807	1473
150	1806	1473
151	1806	1474
152	1806	1473
153	1805	1474
154	1805	1474
155	1804	1474
156	1804	1473
157	1803	1474
158	1803	1473
159	1802	1473
160	1801	1473
161	1801	1472
162	1801	1472
163	1800	1472
164	1800	1473
165	1800	1474
166	1800	1474
167	1800	1475
168	1799	1474
169	1799	1474
170	1799	1475
171	1799	1474
172	1798	1474
173	1799	1474
174	1799	1473
175	1798	1473
176	1798	1472
177	1798	1473
178	1798	1472
179	1798	1472
180	1799	1472
181	1798	1472
182	1799	1472
183	1799	1472
184	1800	1472
185	1800	1472
186	1801	1472
187	1801	1470
188	1801	1470
189	1802	1469
190	1802	1468
191	1803	1467
192	1803	1465
193	1803	1465
194	1804	1464
195	1805	1465
196	1805	1463
197	1806	1463
198	1806	1463
199	1807	1462
200	1807	1462
201	1808	1461
202	1809	1461
203	1809	1460
204	1810	1460
205	1810	1459
206	1811	1458
207	1811	1459
208	1812	1458
209	1813	1457
210	1813	1456
211	1814	1455
212	1815	1455
213	1815	1453
214	1816	1452
215	1816	1452
216	1817	1452
217	1818	1451
218	1818	1451
219	1819	1450
220	1819	1449
221	1819	1450
222	1820	1449
223	1820	1448
224	1821	1448
225	1822	1448
226	1822	1447
227	1823	1447
228	1823	1447
229	1824	1447
230	1824	1447
231	1824	1447
232	1824	1447
233	1824	1447
234	1824	1447
235	1823	1447
236	1824	1446
237	1823	1446
238	1823	1446
239	1824	1446
240	1824	1446
241	1824	1446
242	1825	1446
243	1825	1445
244	1826	1446
245	1826	1446
246	1826	1446
247	1825	1446
248	1825	1446
249	1825	1446
250	1825	1446
251	1824	1447
252	1823	1447
253	1823	1446
254	1824	1447
255	1824	1446
256	1824	1446
257	1823	1445
258	1823	1444
259	1823	1442
260	1824	1441
261	1823	1441
262	1823	1441
263	1823	1441
264	1823	1441
265	1823	1440
266	1823	1440
267	1823	1441
268	1822	1441
269	1822	1441
270	1822	1441
271	1822	1442
272	1822	1442
273	1821	1443
274	1821	1442
275	1821	1442
276	1821	1442
277	1821	1443
278	1822	1442
279	1821	1441
280	1820	1441
281	1820	1439
282	1820	1439
283	1819	1439
284	1820	1439
285	1820	1439
286	1819	1440
287	1820	1439
288	1820	1439
289	1820	1440
290	1821	1441
291	1821	1440
292	1821	1440
293	1821	1440
294	1821	1439
295	1822	1439
296	1822	1439
297	1822	1439
298	1822	1438
299	1823	1437
300	1823	1438
301	1824	1438
302	1824	1437
303	1824	1436
304	1825	1436
305	1826	1435
306	1826	1436
307	1827	1436
308	1827	1436
309	1827	1436
310	1828	1437
311	1828	1438
312	1828	1438
313	1828	1438
314	1828	1438
315	1828	1438
316	1829	1437
317	1830	1436
318	1830	1436
319	1830	1436
320	1830	1437
321	1831	1436
322	1832	1436
323	1832	1436
324	1831	1437
325	1831	1436
326	1831	1437
327	1831	1437
328	1831	1437
329	1830	1437
330	1829	1436
331	1829	1436
332	1829	1437
333	1829	1436
334	1828	1435
335	1828	1435
336	1828	1434
337	1828	1435
338	1827	1436
339	1827	1437
340	1827	1437
341	1827	1438
342	1828	1439
343	1828	1440
344	1828	1440
345	1828	1441
346	1829	1440
347	1829	1440
348	1829	1439
349	1829	1440
350	1829	1440
351	1829	1439
352	1829	1438
353	1828	1438
354	1828	1437
355	1828	1436
356	1828	1436
357	1827	1435
358	1827	1434
359	1828	1434
360	1828	1434
361	1828	1434
362	1829	1435
363	1830	1435
364	1831	1435
365	1831	1435
366	1831	1435
367	1831	1435
368	1831	1435
