Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/fm/zofia_hitler_kalib_2.jazz
Data tworzenia: 14/05/2019
Czas tworzenia: 08:54:17.430
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
1	1510	2697
2	1510	2696
3	1510	2696
4	1510	2696
5	1510	2695
6	1510	2696
7	1509	2695
8	1509	2696
9	1508	2695
10	1508	2695
11	1508	2696
12	1508	2695
13	1508	2696
14	1508	2696
15	1509	2696
16	1509	2696
17	1509	2697
18	1509	2696
19	1510	2696
20	1510	2696
21	1510	2696
22	1511	2695
23	1511	2696
24	1511	2697
25	1511	2696
26	1512	2696
27	1511	2696
28	1512	2695
29	1512	2696
30	1512	2696
31	1512	2694
32	1513	2694
33	1513	2694
34	1513	2695
35	1513	2695
36	1513	2695
37	1514	2695
38	1513	2695
39	1513	2696
40	1514	2696
41	1513	2696
42	1513	2695
43	1513	2695
44	1513	2695
45	1513	2695
46	1514	2694
47	1513	2695
48	1513	2695
49	1513	2694
50	1513	2695
51	1513	2694
52	1514	2694
53	1514	2694
54	1514	2695
55	1514	2693
56	1514	2694
57	1515	2694
58	1515	2694
59	1515	2695
60	1515	2694
61	1515	2694
62	1515	2693
63	1516	2693
64	1517	2693
65	1517	2692
66	1517	2692
67	1516	2693
68	1516	2693
69	1517	2694
70	1517	2695
71	1517	2695
72	1517	2695
73	1516	2695
74	1517	2696
75	1518	2695
76	1518	2695
77	1518	2695
78	1517	2694
79	1517	2695
80	1516	2695
81	1517	2695
82	1516	2695
83	1516	2695
84	1516	2695
85	1516	2695
86	1516	2695
87	1516	2694
88	1516	2693
89	1516	2693
90	1516	2692
91	1516	2691
92	1516	2691
93	1517	2691
94	1517	2690
95	1517	2690
96	1518	2691
97	1518	2691
98	1518	2691
99	1519	2691
100	1520	2691
101	1520	2692
102	1521	2692
103	1521	2692
104	1521	2692
105	1522	2693
106	1522	2692
107	1521	2692
108	1520	2693
109	1520	2692
110	1521	2693
111	1520	2692
112	1521	2691
113	1522	2691
114	1522	2691
115	1523	2691
116	1525	2690
117	1525	2690
118	1525	2690
119	1526	2690
120	1525	2690
121	1525	2690
122	1525	2690
123	1526	2690
124	1525	2690
125	1526	2691
126	1526	2691
127	1526	2690
128	1526	2690
129	1526	2690
130	1526	2691
131	1526	2690
132	1525	2690
133	1525	2690
134	1525	2690
135	1525	2691
136	1526	2690
137	1526	2690
138	1526	2690
139	1527	2689
140	1528	2688
141	1528	2688
142	1527	2688
143	1528	2687
144	1527	2688
145	1528	2688
146	1528	2688
147	1528	2689
148	1526	2689
149	1526	2690
150	1527	2690
151	1527	2690
152	1528	2689
153	1528	2689
154	1528	2689
155	1527	2689
156	1528	2689
157	1528	2688
158	1528	2687
159	1529	2687
160	1528	2686
161	1527	2685
162	1527	2686
163	1528	2686
164	1528	2686
165	1528	2687
166	1528	2686
167	1528	2686
168	1528	2687
169	1529	2688
170	1529	2688
171	1528	2688
172	1529	2688
173	1529	2688
174	1530	2688
175	1529	2688
176	1529	2687
177	1529	2687
178	1529	2687
