Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/fm/zofia_jogurt_kalib_2.jazz
Data tworzenia: 14/05/2019
Czas tworzenia: 09:01:55.930
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
1	1032	1897
2	1032	1897
3	1033	1897
4	1033	1897
5	1031	1898
6	1032	1898
7	1031	1898
8	1032	1898
9	1032	1897
10	1032	1898
11	1031	1898
12	1031	1898
13	1031	1897
14	1031	1898
15	1031	1897
16	1031	1897
17	1031	1897
18	1031	1897
19	1031	1896
20	1032	1895
21	1032	1895
22	1032	1895
23	1033	1895
24	1032	1895
25	1032	1895
26	1032	1895
27	1032	1896
28	1032	1896
29	1032	1896
30	1031	1896
31	1032	1896
32	1032	1895
33	1031	1895
34	1031	1895
35	1031	1894
36	1031	1895
37	1030	1894
38	1031	1894
39	1030	1894
40	1030	1894
41	1031	1894
42	1032	1894
43	1031	1895
44	1031	1895
45	1031	1895
46	1031	1894
47	1031	1894
48	1031	1895
49	1031	1894
50	1031	1894
51	1031	1893
52	1031	1893
53	1031	1894
54	1030	1895
55	1031	1895
56	1030	1894
57	1030	1895
58	1030	1895
59	1030	1896
60	1029	1896
61	1030	1895
62	1030	1896
63	1030	1896
64	1029	1896
65	1030	1897
66	1029	1896
67	1030	1896
68	1029	1896
69	1029	1896
70	1029	1896
71	1029	1896
72	1029	1895
73	1030	1895
74	1030	1895
75	1031	1894
76	1031	1894
77	1031	1895
78	1031	1895
79	1031	1895
80	1030	1895
81	1030	1894
82	1029	1894
83	1028	1894
84	1028	1894
85	1028	1893
86	1028	1892
87	1029	1892
88	1029	1892
89	1029	1893
90	1030	1893
91	1030	1893
92	1031	1893
93	1031	1894
94	1031	1894
95	1031	1895
96	1031	1895
97	1030	1894
98	1030	1894
99	1030	1894
100	1029	1895
101	1030	1895
102	1030	1894
103	1030	1893
104	1030	1892
105	1030	1893
106	1030	1893
107	1030	1893
108	1030	1892
109	1029	1891
110	1029	1891
111	1029	1891
112	1029	1892
113	1029	1892
114	1029	1891
115	1030	1891
116	1029	1891
117	1030	1892
118	1030	1892
119	1030	1892
120	1030	1892
121	1031	1891
122	1031	1891
123	1030	1891
124	1030	1891
125	1030	1890
126	1030	1890
127	1030	1891
128	1030	1891
129	1029	1891
130	1029	1891
131	1029	1891
132	1029	1891
133	1028	1891
134	1029	1892
135	1029	1891
136	1028	1891
137	1028	1892
138	1029	1893
139	1029	1893
140	1029	1893
141	1030	1893
142	1030	1893
143	1030	1893
144	1030	1893
145	1030	1891
146	1029	1891
147	1030	1891
148	1030	1890
149	1029	1891
150	1029	1890
151	1029	1890
152	1029	1890
153	1029	1891
154	1030	1891
155	1029	1891
156	1030	1892
157	1030	1892
158	1031	1891
159	1030	1891
160	1030	1891
161	1030	1892
162	1030	1891
163	1030	1891
164	1030	1890
165	1030	1890
166	1030	1890
167	1030	1890
168	1030	1891
169	1031	1890
170	1031	1890
171	1030	1891
172	1031	1892
173	1029	1892
174	1030	1892
175	1030	1892
176	1030	1892
177	1029	1892
178	1029	1891
179	1029	1890
180	1029	1890
181	1029	1890
182	1030	1889
183	1030	1888
184	1030	1888
185	1030	1888
186	1031	1888
187	1030	1888
188	1031	1889
189	1031	1888
190	1030	1889
191	1030	1890
192	1030	1889
193	1029	1889
194	1029	1889
195	1029	1889
196	1029	1889
197	1028	1889
198	1028	1889
199	1028	1890
200	1029	1890
201	1029	1890
202	1030	1891
203	1029	1891
204	1029	1891
205	1029	1891
206	1029	1890
207	1029	1890
208	1029	1890
209	1029	1891
210	1029	1891
211	1029	1891
212	1029	1891
213	1029	1892
214	1029	1892
215	1029	1890
216	1028	1891
217	1029	1890
218	1029	1889
219	1029	1888
220	1028	1889
